name,device_role,tenant,manufacturer,device_type,platform,serial,asset_tag,status,site,location,rack,position,face,airflow,virtual_chassis,vc_position,vc_priority,cluster,comments
OCT7-04,oct,,Dell,PowerEdge R730xd,,8ZMD082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,7,front,,,,,,
OCT7-05,oct,,Dell,PowerEdge R730xd,,8ZLJ082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,9,front,,,,,,
OCT7-06,oct,,Dell,PowerEdge R730xd,,8ZGH082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,11,front,,,,,,
OCT7-07,oct,,Dell,PowerEdge R730xd,,8ZGF082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,13,front,,,,,,
OCT7-08,oct,,Dell,PowerEdge R730xd,,J6PBGB2,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,15,front,,,,,,
OCT7-09,oct,,Dell,PowerEdge R730xd,,8ZJH082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,17,front,,,,,,
OCT7-10,oct,,Dell,PowerEdge R730xd,,8ZLL082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,19,front,,,,,,
OCT7-11,oct,,Dell,PowerEdge R730xd,,7LDT182,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,21,front,,,,,,
OCT7-12,oct,,Dell,PowerEdge R730xd,,J5P0V52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,23,front,,,,,,
OCT7-13,oct,,Dell,PowerEdge R730xd,,8ZKF082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,25,front,,,,,,
OCT7-14,oct,,Dell,PowerEdge R730xd,,J5NZT52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,27,front,,,,,,
OCT7-15,oct,,Dell,PowerEdge R730xd,,J5PWT52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,29,front,,,,,,
OCT7-16,oct,,Dell,PowerEdge R730xd,,8ZMF082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,31,front,,,,,,
OCT7-17,oct,,Dell,PowerEdge R730xd,,8ZFK082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,33,front,,,,,,
OCT7-18,oct,,Dell,PowerEdge R730xd,,DBV2KB2,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,35,front,,,,,,
OCT7-19,oct,,Dell,PowerEdge R730xd,,83WJC42,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage8,37,front,,,,,,
OCT8-01,oct,,Dell,PowerEdge R630,,2205T52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,1,front,,,,,,
OCT8-02,oct,,Dell,PowerEdge R630,,38FX942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,2,front,,,,,,
OCT8-03,oct,,Dell,PowerEdge R630,,7GTD942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,3,front,,,,,,
OCT8-04,oct,,Dell,PowerEdge R630,,JR1JT52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,4,front,,,,,,
OCT8-05,oct,,Dell,PowerEdge R630,,91YD082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,5,front,,,,,,
OCT8-06,oct,,Dell,PowerEdge R630,,8FSPS52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,6,front,,,,,,
OCT8-07,oct,,Dell,PowerEdge R630,,D9M1KB2,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,7,front,,,,,,
OCT8-08,oct,,Dell,PowerEdge R630,,91SG082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,8,front,,,,,,
OCT8-09,oct,,Dell,PowerEdge R630,,8YTH082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,9,front,,,,,,
OCT8-10,oct,,Dell,PowerEdge R630,,C385KB2,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,10,front,,,,,,
OCT8-11,oct,,Dell,PowerEdge R630,,JR16T52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,11,front,,,,,,
OCT8-12,oct,,Dell,PowerEdge R630,,2VVX082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,12,front,,,,,,
OCT8-13,oct,,Dell,PowerEdge R630,,J19CKB2,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,13,front,,,,,,
OCT8-14,oct,,Dell,PowerEdge R630,,2VSZ082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,14,front,,,,,,
OCT8-15,oct,,Dell,PowerEdge R630,,920G082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,15,front,,,,,,
OCT8-16,oct,,Dell,PowerEdge R630,,91QL082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,16,front,,,,,,
OCT8-17,oct,,Dell,PowerEdge R630,,4FZ0182,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,17,front,,,,,,
OCT8-18,oct,,Dell,PowerEdge R630,,8YZL082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,18,front,,,,,,
OCT8-19,oct,,Dell,PowerEdge R630,,91YL082,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,19,front,,,,,,
OCT8-20,oct,,Dell,PowerEdge R630,,2R98V52,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,20,front,,,,,,
OCT8-21,oct,,Dell,PowerEdge R630,,C3H5KB2,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,21,front,,,,,,
OCT8-22,oct,,Dell,PowerEdge R620,,7R5H942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,22,front,,,,,,
OCT8-23,oct,,Dell,PowerEdge R620,,93K9942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,23,front,,,,,,
OCT8-24,oct,,Dell,PowerEdge R620,,5JTB942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,24,front,,,,,,
OCT8-25,oct,,Dell,PowerEdge R620,,7DS8942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,25,front,,,,,,
OCT8-26,oct,,Dell,PowerEdge R620,,7DX9942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,26,front,,,,,,
OCT8-27,oct,,Dell,PowerEdge R620,,93H8942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,27,front,,,,,,
OCT8-28,oct,,Dell,PowerEdge R620,,7DT9942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,28,front,,,,,,
OCT8-29,oct,,Dell,PowerEdge R620,,6XC7942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,29,front,,,,,,
OCT8-30,oct,,Dell,PowerEdge R620,,5J8F942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,30,front,,,,,,
OCT8-31,oct,,Dell,PowerEdge R620,,7R4J942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,31,front,,,,,,
OCT8-32,oct,,Dell,PowerEdge R620,,7F2B942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,32,front,,,,,,
OCT8-33,oct,,Dell,PowerEdge R620,,G3N6C42,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,33,front,,,,,,
OCT8-34,oct,,Dell,PowerEdge R620,,H3P0FZ1,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,34,front,,,,,,
OCT8-35,oct,,Dell,PowerEdge R620,,93NB942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,35,front,,,,,,
OCT8-36,oct,,Dell,PowerEdge R620,,7DSB942,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,36,front,,,,,,
OCT8-37,oct,,Dell,PowerEdge R620,,7X4SV12,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,37,front,,,,,,
OCT8-38,oct,,Dell,PowerEdge R620,,HDSDH02,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,38,front,,,,,,
OCT8-39,oct,,Dell,PowerEdge R620,,4Q8YK02,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,39,front,,,,,,
OCT8-40,oct,,Dell,PowerEdge R620,,HFB8H02,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage10,40,front,,,,,,
OCT9-FPGA3,oct,,Dell,PowerEdge R740,,CFVL8B3,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,39,front,,,,,,
OCT9-FPGA4,oct,,Dell,PowerEdge R740,,CFVG8B3,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,37,front,,,,,,
OCT9-FPGA5,oct,,Dell,PowerEdge R740,,CFVH8B3,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,35,front,,,,,,
OCT9-FPGA6,oct,,Dell,PowerEdge R740,,CFVK8B3,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,33,front,,,,,,
OCT9-FPGA7,oct,,Dell,PowerEdge R740,,CFVJ8B3,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,31,front,,,,,,
OCT9-FPGA8,oct,,Dell,PowerEdge R740,,CFTR8B3,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,29,front,,,,,,
OCT9-FPGA1,oct,,Dell,PowerEdge R740,,6FRJ673,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,27,front,,,,,,
OCT9-FPGA2,oct,,Dell,PowerEdge R740,,6FRK673,,active,MGHPCC,Row3/PodB,Row3/PodB/Cage7,25,front,,,,,,
OPF-MGMT1,oct,,Dell,PowerEdge R440,,10JVZC3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,37,front,,,,,,
OCT10-01,oct,,Dell,PowerEdge R640,,DJR0KD3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,36,front,,,,,,
OCT10-02,oct,,Dell,PowerEdge R640,,DJR10D3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,35,front,,,,,,
OCT10-03,oct,,Dell,PowerEdge R640,,DJR1KD3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,34,front,,,,,,
OCT10-04,oct,,Dell,PowerEdge R640,,DJR4KD3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,33,front,,,,,,
OCT10-05,oct,,Dell,PowerEdge R640,,DJR3KD3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,32,front,,,,,,
OCT10-06,oct,,Dell,PowerEdge R640,,DJR2KD3,,active,MGHPCC,Row6/PodB,Row6/PodB/Cage2,31,front,,,,,,
